,TP9,AF7,AF8,TP10,Right AUX,timestamps
557,999.512,19.043,998.535,999.512,0.000,1711986889.647
558,701.660,-810.059,721.191,615.723,0.000,1711986889.650
559,-866.699,-706.543,-720.215,-961.426,0.000,1711986889.654
560,-1000.000,325.195,-920.898,-939.453,0.000,1711986889.658
561,422.852,135.254,521.973,578.613,0.000,1711986889.662
562,999.512,-955.078,993.164,999.512,0.000,1711986889.666
563,-167.480,-87.402,-378.418,-283.203,0.000,1711986889.669
564,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.675
565,-145.508,-164.062,83.008,-38.086,0.000,1711986889.679
566,999.512,-1000.000,999.512,999.512,0.000,1711986889.682
567,222.168,-17.090,51.270,189.453,0.000,1711986889.686
568,-1000.000,994.629,-1000.000,-1000.000,0.000,1711986889.690
569,-267.090,955.566,-241.699,-264.160,0.000,1711986889.694
570,999.512,371.582,999.512,999.512,0.000,1711986889.698
571,317.383,-1000.000,473.145,288.574,0.000,1711986889.701
572,-1000.000,-396.484,-1000.000,-1000.000,0.000,1711986889.705
573,-597.656,995.605,-619.629,-513.184,0.000,1711986889.709
574,987.305,257.812,890.625,999.512,0.000,1711986889.713
575,830.078,-1000.000,769.043,736.816,0.000,1711986889.716
576,-756.836,-625.977,-691.895,-860.352,0.000,1711986889.722
577,-1000.000,792.969,-945.801,-973.633,0.000,1711986889.726
578,430.664,890.137,440.430,514.648,0.000,1711986889.729
579,999.512,-494.629,999.512,999.512,0.000,1711986889.733
580,-19.043,-1000.000,-184.570,-104.004,0.000,1711986889.737
581,-1000.000,142.090,-1000.000,-1000.000,0.000,1711986889.741
582,-76.172,999.512,51.270,-41.504,0.000,1711986889.745
583,999.512,62.500,999.512,999.512,0.000,1711986889.748
584,209.473,-1000.000,234.863,207.520,0.000,1711986889.752
585,-1000.000,-270.508,-1000.000,-1000.000,0.000,1711986889.756
586,-274.414,999.512,-398.438,-272.461,0.000,1711986889.760
587,999.512,223.633,999.512,999.512,0.000,1711986889.763
588,454.590,-1000.000,478.027,389.160,0.000,1711986889.770
589,-1000.000,-334.473,-1000.000,-1000.000,0.000,1711986889.774
590,-700.195,999.512,-722.656,-614.258,0.000,1711986889.778
591,891.602,506.836,755.371,976.074,0.000,1711986889.782
592,951.660,-875.488,858.398,866.699,0.000,1711986889.785
593,-506.836,-84.473,-581.543,-636.230,0.000,1711986889.789
594,-1000.000,875.000,-1000.000,-1000.000,0.000,1711986889.793
595,54.199,-464.844,341.797,198.730,0.000,1711986889.797
596,999.512,-1000.000,999.512,999.512,0.000,1711986889.801
597,-18.555,-683.594,-219.238,-62.012,0.000,1711986889.804
598,-1000.000,471.191,-1000.000,-1000.000,0.000,1711986889.808
599,-236.328,999.512,-203.125,-219.238,0.000,1711986889.812
600,999.512,-52.246,999.512,999.512,0.000,1711986889.817
601,240.723,-1000.000,225.098,233.887,0.000,1711986889.821
602,-1000.000,-149.414,-1000.000,-1000.000,0.000,1711986889.825
603,-425.293,999.512,-500.000,-325.684,0.000,1711986889.828
604,999.512,110.840,999.512,999.512,0.000,1711986889.832
605,569.336,-614.746,554.688,518.555,0.000,1711986889.836
606,-1000.000,785.156,-1000.000,-1000.000,0.000,1711986889.840
607,-855.469,953.125,-679.688,-716.309,0.000,1711986889.844
608,718.262,-215.332,824.219,872.559,0.000,1711986889.847
609,999.512,-1000.000,879.395,978.516,0.000,1711986889.851
610,-433.105,-518.555,-498.047,-473.633,0.000,1711986889.855
611,-1000.000,807.129,-1000.000,-1000.000,0.000,1711986889.859
612,-47.852,348.633,121.582,71.289,0.000,1711986889.864
613,999.512,-1000.000,999.512,999.512,0.000,1711986889.867
614,172.852,-128.906,-63.965,99.121,0.000,1711986889.871
615,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.875
616,-262.207,154.785,-189.941,-251.465,0.000,1711986889.879
617,999.512,-1000.000,999.512,999.512,0.000,1711986889.883
