,TP9,AF7,AF8,TP10,Right AUX,timestamps
210,999.512,971.191,-997.070,-381.348,0.000,1713320976.454
211,943.359,982.422,-1000.000,-1000.000,0.000,1713320976.457
212,937.012,926.758,-886.719,3.418,0.000,1713320976.461
213,976.562,980.957,-753.906,999.512,0.000,1713320976.464
214,905.273,905.762,-977.051,73.730,0.000,1713320976.468
215,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.472
216,255.859,187.988,-936.523,-274.414,0.000,1713320976.477
217,-1000.000,-1000.000,-754.883,999.512,0.000,1713320976.481
218,-347.656,-984.375,-931.152,9.766,0.000,1713320976.485
219,999.512,-973.633,-1000.000,-1000.000,0.000,1713320976.488
220,295.898,-944.336,-1000.000,-973.633,0.000,1713320976.492
221,-1000.000,-1000.000,-925.781,507.324,0.000,1713320976.495
222,-204.102,-220.215,-925.781,735.840,0.000,1713320976.499
223,999.512,999.512,-995.605,-956.055,0.000,1713320976.503
224,943.359,952.148,-1000.000,-1000.000,0.000,1713320976.506
225,941.895,941.895,-780.762,466.309,0.000,1713320976.510
226,967.773,972.168,-671.387,999.512,0.000,1713320976.514
227,916.016,910.645,-998.047,-312.988,0.000,1713320976.517
228,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.523
229,125.977,131.348,-824.219,-96.191,0.000,1713320976.526
230,-1000.000,-1000.000,-656.738,999.512,0.000,1713320976.530
231,-250.977,-976.562,-974.121,-333.984,0.000,1713320976.534
232,999.512,-976.562,-1000.000,-1000.000,0.000,1713320976.537
233,215.332,-944.824,-973.633,-551.758,0.000,1713320976.541
234,-1000.000,-1000.000,-848.633,995.117,0.000,1713320976.544
235,-31.738,-197.266,-929.688,377.441,0.000,1713320976.548
236,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.552
237,922.852,948.730,-1000.000,-607.422,0.000,1713320976.555
238,961.426,949.219,-750.000,999.512,0.000,1713320976.559
239,937.988,948.242,-695.312,688.965,0.000,1713320976.563
240,963.867,951.660,-1000.000,-825.195,0.000,1713320976.568
241,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.572
242,-239.746,-207.520,-748.535,257.324,0.000,1713320976.575
243,-1000.000,-1000.000,-627.930,706.543,0.000,1713320976.579
244,-67.383,-945.312,-1000.000,-826.660,0.000,1713320976.583
245,999.512,-977.539,-1000.000,-1000.000,0.000,1713320976.586
246,-54.688,-975.098,-911.621,-274.414,0.000,1713320976.590
247,-1000.000,-1000.000,-786.133,999.512,0.000,1713320976.594
248,396.484,123.047,-962.402,246.094,0.000,1713320976.597
249,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.601
250,897.949,911.133,-1000.000,-320.312,0.000,1713320976.604
251,988.770,980.469,-621.582,999.512,0.000,1713320976.608
252,896.973,900.879,-683.105,334.961,0.000,1713320976.614
253,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.617
254,645.508,666.504,-1000.000,-984.863,0.000,1713320976.621
255,-826.172,-781.250,-687.500,600.586,0.000,1713320976.624
256,-1000.000,-1000.000,-640.625,397.949,0.000,1713320976.628
257,340.332,-952.637,-1000.000,-1000.000,0.000,1713320976.632
258,999.512,-955.566,-1000.000,-1000.000,0.000,1713320976.635
259,-607.422,-1000.000,-856.934,-227.539,0.000,1713320976.639
260,-711.426,-793.945,-757.324,999.512,0.000,1713320976.643
261,915.527,631.836,-981.934,75.195,0.000,1713320976.646
262,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.650
263,911.621,902.832,-923.828,-238.281,0.000,1713320976.654
