,TP9,AF7,AF8,TP10,Right AUX,timestamps
72,554.688,968.262,-1000.000,968.262,0.000,1711992593.955
73,-1000.000,968.750,-1000.000,968.262,0.000,1711992593.959
74,-949.219,968.262,-1000.000,968.262,0.000,1711992593.962
75,534.180,968.262,-1000.000,968.262,0.000,1711992593.966
76,999.512,968.262,-1000.000,968.262,0.000,1711992593.969
77,-282.715,968.262,-1000.000,968.262,0.000,1711992593.973
78,-1000.000,968.262,-1000.000,968.262,0.000,1711992593.976
79,-36.133,968.262,-1000.000,968.262,0.000,1711992593.979
80,999.512,968.262,-1000.000,968.262,0.000,1711992593.983
81,209.473,968.262,-1000.000,968.262,0.000,1711992593.986
82,-1000.000,968.262,-1000.000,968.262,0.000,1711992593.990
83,-266.113,968.262,-1000.000,968.262,0.000,1711992593.993
84,999.512,968.262,-1000.000,968.262,0.000,1711992593.999
85,270.996,968.262,-1000.000,968.262,0.000,1711992594.002
86,-1000.000,968.262,-1000.000,968.262,0.000,1711992594.006
87,-446.777,968.262,-1000.000,968.262,0.000,1711992594.009
88,999.512,968.750,-1000.000,968.262,0.000,1711992594.013
89,759.766,968.262,-1000.000,968.262,0.000,1711992594.016
90,-847.168,968.262,-1000.000,968.262,0.000,1711992594.020
91,-919.434,968.262,-1000.000,968.262,0.000,1711992594.023
92,615.723,968.262,-1000.000,968.262,0.000,1711992594.027
93,999.512,968.750,-1000.000,968.262,0.000,1711992594.030
94,-139.160,968.262,-1000.000,968.262,0.000,1711992594.034
95,-1000.000,968.750,-1000.000,968.262,0.000,1711992594.037
96,-42.969,968.750,-1000.000,968.262,0.000,1711992594.041
97,999.512,968.262,-1000.000,968.262,0.000,1711992594.045
98,208.496,968.750,-986.816,968.262,0.000,1711992594.048
99,-1000.000,968.750,-951.172,968.262,0.000,1711992594.052
100,-274.414,968.262,-1000.000,968.262,0.000,1711992594.055
101,999.512,968.262,15.137,968.262,0.000,1711992594.059
102,431.152,968.262,999.512,968.262,0.000,1711992594.062
103,-1000.000,968.750,-600.098,968.262,0.000,1711992594.065
104,-454.590,969.238,-394.043,968.262,0.000,1711992594.069
105,999.512,905.273,999.512,968.262,0.000,1711992594.072
106,872.559,999.512,999.512,968.262,0.000,1711992594.076
107,-637.207,270.508,75.684,968.262,0.000,1711992594.079
108,-1000.000,-1000.000,-1000.000,968.262,0.000,1711992594.084
109,413.574,-235.840,-565.430,968.262,0.000,1711992594.087
110,999.512,845.215,-167.480,968.262,0.000,1711992594.091
111,-37.598,-640.137,-970.703,968.262,0.000,1711992594.094
112,-1000.000,-1000.000,-982.422,968.262,0.000,1711992594.098
113,-52.246,-925.293,-1000.000,968.262,0.000,1711992594.101
114,999.512,-1000.000,29.785,968.262,0.000,1711992594.105
115,207.031,-1000.000,286.133,968.262,0.000,1711992594.108
116,-1000.000,-1000.000,-641.113,968.262,0.000,1711992594.111
117,-276.367,-1000.000,789.062,968.262,0.000,1711992594.115
118,999.512,-1000.000,999.512,968.262,0.000,1711992594.118
119,573.730,-934.570,900.391,968.262,0.000,1711992594.122
120,-1000.000,-1000.000,983.398,968.262,0.000,1711992594.127
121,-307.617,-722.168,968.262,968.262,0.000,1711992594.130
122,999.512,716.797,968.262,968.262,0.000,1711992594.134
123,999.512,999.512,968.262,968.262,0.000,1711992594.137
124,-360.840,905.273,968.262,968.262,0.000,1711992594.140
125,-759.277,983.398,979.004,968.262,0.000,1711992594.144
126,819.824,968.262,908.691,968.262,0.000,1711992594.147
127,999.512,968.262,999.512,968.262,0.000,1711992594.151
128,157.715,968.262,786.133,968.262,0.000,1711992594.154
129,-1000.000,968.750,-247.070,968.262,0.000,1711992594.158
130,51.270,968.262,493.164,968.262,0.000,1711992594.161
131,999.512,968.262,999.512,968.262,0.000,1711992594.165
132,188.477,968.262,942.871,968.262,0.000,1711992594.170
133,-1000.000,968.750,-272.461,968.262,0.000,1711992594.173
134,-276.367,968.750,73.242,968.262,0.000,1711992594.177
135,999.512,968.262,999.512,968.262,0.000,1711992594.180
136,635.742,968.262,999.512,968.262,0.000,1711992594.184
137,-1000.000,968.262,104.492,968.262,0.000,1711992594.187
138,-561.523,968.262,-428.223,968.262,0.000,1711992594.191
139,958.984,968.262,948.730,968.262,0.000,1711992594.194
140,999.512,968.262,999.512,968.262,0.000,1711992594.198
